지역,근무회사,근무시간,급여,올린시간,알바설명
광명시 철산동,쿠팡풀필먼트서비스(유),18:00~04:00,"109,200원",07/16," [고양쿠팡]일급 109,200원/다음날지급/오후알바/셔틀"
광명시 옥길동,하루도OK/누구나할수있는/진짜쉽다/상품포장,시간협의,"69,760원",07/16, [인센2만/단순핵꿀알바] 주간야간/남여동반/초보/포장
광명시 일직동,[주5일최대84만이상] 꿀알바/원하는날근무O,시간협의,"111,480원",07/16, 일최대14만이상/빠른입금/단순초보꿀알바/주간야간/단
광명시 일직동,요거프레소 광명일직점,16:00~22:00,"9,000원",07/16, 카페 요거프레소 주말 마감 직원 모집합니다.
광명시 철산동,주) 배우와사람들/특혜&배우아카데미1개,시간협의,"800,000원",07/16, 놀면뭐하니&돈벌자/단기알바/주말알바/초보환영/영화
광명시 전체,케이텍 맨파워㈜,10:30~21:00,"100,000원",07/16, [주4일] 롯데아울렛 광명점 롯데와인 판매 고정아르바
광명시 철산동,홈플러스 익스프레스 철산역점,17:00~22:00,"1,377,760원",07/15, #급구# 홈플러스익스프레스 철산역점
광명시 광명동,곱창폭식 광명점,19:00~23:30,"8,720원",07/15, 곱창폭식 광명점 월요일 목요일 알바모집
광명시 가학동,아프로디테,11:00~17:00,"9,000원",07/15, 카페형 음식점에서 같이일하실분구해요
광명시 하안동,떡순튀,시간협의,"12,000원",07/15, [떡순튀] 주말/평일 배달 직원 모집합니다
광명시 전체,웅이네오돌뼈,시간협의,"10,000원",07/15, 웅이네오돌뼈 광명점 직원 및 아르바이트 구합니다
광명시 노온사동,㈜태승,09:00~18:00,"9,000원",07/15, [주5일] 사무 보조 직원 모집(계약직)
광명시 전체,cu광명창원점,22:00~08:00,"8,720원",07/15, cu 광명창원점에서 주말 야간 스탭을 모집합니다.
광명시 전체,데이앤데이광명성애병원점,19:00~22:00,"8,720원",07/15, [급구] 데이앤데이카페편의점 주말 오후 19시-22시
광명시 일직동,코레일 유통,10:30~16:30,"8,720원",07/15, (평일 미들)KTX광명역 서편 4번 출구  스토리웨이 편
광명시 전체,명랑핫도그광명철산점,19:00~23:00,"8,750원",07/15, 명랑핫도그 구인
광명시 하안동,와이즈리더영어독서보습학원,14:00~19:00,"9,000원",07/15, 와이즈리더 영어독서학원 월수금/화목일 지도쌤 각 1
광명시 광명4동,배스킨라빈스 광명사거리,시간협의,"8,720원",07/15, 베스킨라빈스 광명사거리점 평일 오후 파트타이머 모
광명시 철산동,토즈스터디센터 철산독서실,20:00~01:30,"200,000원",07/15, 토즈스터디센터 광명철산 근무자 모집
광명시 하안동,CU 광명홍우점,00:00~07:00,"8,750원",07/15, 주중야간 가족 찾아요
광명시 광명동,미정국수0410광명사거리역점,시간협의,"1,023,043원",07/15," 미정국수0410 광명사거리역점 주3일 (일, 월, 화) 오"
광명시 하안동,정상종합학원,시간협의,"13,000원",07/15, 수학.영어(초.중/중.고) 파트 강사 모십니다.
광명시 광명동,히카리연어,18:30~22:30,"8,720원",07/15, 광명사거리에 위치한 히카리연어에서 일할분을 모집합
광명시 전체,㈜템프코리아,12:00~21:00,"90,000원",07/15, [코스트코광명]일페이9만원/단백질보충제판촉/7월19일
광명시 철산동,#미혼가능 #외국인가능 #초보가능 #야쿠르트,06:00~12:30,"1,500,000원",07/15, [오전배달/주부우대] 유제품 배달 매니저 모집
광명시 철산동,파파존스 철산점,11:00~22:30,"8,720원",07/15, 파파존스 철산점 배달 모집합니다.
광명시 소하동,디저트39,시간협의,"8,720원",07/15, 카페 경험있는 직원 구합니다
광명시 소하동,㈜블레싱커피로스터스/넥스트커피랩 소하점,시간협의,"9,000원",07/15, 광명시/정규직 /아르바이트/바리스타 채용
광명시 광명4동,바로상담가능#[한국블로그마케팅],시간협의,"100,000원",07/15, 건당10만원/최소5만원/포스팅 알바/학생/주부/재택/당
광명시 광명동,더벤티광명사거리역점,19:30~22:30,"8,720원",07/15, 더벤티광명사거리역점 평일마감 모집
광명시 전체,크린케어,05:30~07:30,"450,000원",07/15, 광명] 실내골프장 아침청소 급구모집
